f	Zre	Zim
7.0000E-1	7.1145E+1	-8.6882E+0
1.1000E+0	7.1145E+1	-8.6882E+0
1.7000E+0	6.3088E+1	-9.8575E+0
4.3000E+0	5.6368E+1	-1.5745E+1
7.1000E+0	4.3076E+1	-1.9653E+1
1.1300E+1	3.5114E+1	-2.0569E+1
2.8100E+1	1.8222E+1	-1.7460E+1
4.4300E+1	1.2707E+1	-1.4227E+1
7.0900E+1	9.3563E+0	-1.2095E+1
1.1230E+2	8.4831E+0	-8.7581E+0
1.7770E+2	6.7283E+0	-6.1550E+0
2.8190E+2	5.4566E+0	-4.5608E+0
4.4810E+2	4.4565E+0	-3.6023E+0
7.1030E+2	3.9804E+0	-2.2621E+0
1.1273E+3	3.6818E+0	-1.8067E+0
1.7881E+3	3.3829E+0	-1.2891E+0
2.8351E+3	3.2090E+0	-9.8932E-1
4.5007E+3	3.0335E+0	-6.7464E-1
