freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm
2.00E+05	1.92E-01	1.95E-02
1.37E+05	1.98E-01	1.93E-02
9.32E+04	1.87E-01	1.22E-02
6.36E+04	1.79E-01	-1.48E-02
4.34E+04	1.95E-01	-3.72E-02
2.96E+04	1.60E-01	-9.71E-03
2.02E+04	1.96E-01	-4.24E-03
1.38E+04	2.12E-01	6.64E-03
9.43E+03	1.50E-01	1.00E-02
6.44E+03	1.88E-01	2.01E-02
4.39E+03	2.64E-01	-3.57E-03
3.00E+03	1.92E-01	1.73E-02
2.05E+03	2.19E-01	2.06E-02
1.40E+03	2.35E-01	8.27E-02
9.54E+02	1.99E-01	5.08E-02
6.51E+02	2.13E-01	1.26E-01
4.45E+02	2.72E-01	1.27E-01
3.04E+02	3.06E-01	2.38E-01
2.07E+02	2.91E-01	3.54E-01
1.41E+02	3.87E-01	3.60E-01
9.65E+01	4.76E-01	4.94E-01
6.59E+01	6.13E-01	6.19E-01
4.50E+01	9.16E-01	7.62E-01
3.07E+01	1.10E+00	8.08E-01
2.10E+01	1.37E+00	7.02E-01
4.55E+00	1.72E+00	4.73E-01
3.11E+00	2.19E+00	1.92E-01

