freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.9999814E+005	1.9202128E-001	1.9490717E-002	1.9300793E-001	-5.7958379E+000
1.3652391E+005	1.9761473E-001	1.9276435E-002	1.9855267E-001	-5.5713215E+000
9.3193289E+004	1.8744634E-001	1.2151276E-002	1.8783978E-001	-3.7090297E+000
6.3613422E+004	1.7926469E-001	-1.4778716E-002	1.7987284E-001	4.7128496E+000
4.3423398E+004	1.9458744E-001	-3.7236478E-002	1.9811821E-001	1.0833220E+001
2.9644816E+004	1.6039750E-001	-9.7087352E-003	1.6069107E-001	3.4638424E+000
2.0236418E+004	1.9635716E-001	-4.2408956E-003	1.9640295E-001	1.2372743E+000
1.3815693E+004	2.1162882E-001	6.6390145E-003	2.1173294E-001	-1.7968384E+000
9.4282480E+003	1.5037073E-001	1.0009097E-002	1.5070347E-001	-3.8081503E+000
6.4393579E+003	1.8772857E-001	2.0106608E-002	1.8880226E-001	-6.1133409E+000
4.3935923E+003	2.6395801E-001	-3.5656150E-003	2.6398209E-001	7.7391958E-001
2.9990376E+003	1.9232239E-001	1.7268907E-002	1.9309613E-001	-5.1309118E+000
2.0480305E+003	2.1869016E-001	2.0604430E-002	2.1965866E-001	-5.3823738E+000
1.3977661E+003	2.3496181E-001	8.2712971E-002	2.4909534E-001	-1.9393459E+001
9.5408411E+002	1.9887587E-001	5.0808039E-002	2.0526342E-001	-1.4331162E+001
6.5145941E+002	2.1311963E-001	1.2577033E-001	2.4746343E-001	-3.0546539E+001
4.4457315E+002	2.7195159E-001	1.2666084E-001	3.0000106E-001	-2.4973644E+001
3.0354337E+002	3.0638042E-001	2.3818175E-001	3.8807154E-001	-3.7861683E+001
2.0718797E+002	2.9073203E-001	3.5423854E-001	4.5826852E-001	-5.0623455E+001
1.4140308E+002	3.8746917E-001	3.6008799E-001	5.2895719E-001	-4.2902332E+001
9.6513329E+001	4.7558489E-001	4.9403778E-001	6.8575090E-001	-4.6090263E+001
6.5906868E+001	6.1292732E-001	6.1859041E-001	8.7082374E-001	-4.5263470E+001
4.4985638E+001	9.1592467E-001	7.6182395E-001	1.1913412E+000	-3.9752125E+001
3.0717552E+001	1.0997649E+000	8.0818087E-001	1.3647854E+000	-3.6310936E+001
2.0959080E+001	1.3675898E+000	7.0161301E-001	1.5370630E+000	-2.7159132E+001
1.4308617E+001	1.6428317E+000	7.2107333E-001	1.7941134E+000	-2.3697680E+001
9.7656250E+000	1.6013614E+000	8.3943672E-002	1.6035601E+000	-3.0007091E+000
6.6659527E+000	1.5928822E+000	3.7232795E-001	1.6358184E+000	-1.3156380E+001
4.5527368E+000	1.7245828E+000	4.7305694E-001	1.7882866E+000	-1.5339077E+001
3.1063631E+000	2.1901484E+000	1.9198352E-001	2.1985466E+000	-5.0096154E+000
2.1206589E+000	2.4106553E+000	-6.2222219E-001	2.4896624E+000	1.4472915E+001
1.4483706E+000	-2.7354380E-001	1.2501326E+000	1.2797099E+000	-1.0234247E+002
9.8867714E-001	3.1193936E+000	-1.7428850E+000	3.5732708E+000	2.9193209E+001
6.7448020E-001	3.3935494E+000	1.8273180E+000	3.8542533E+000	-2.8301046E+001
4.6064258E-001	-4.2844355E-001	2.1215646E+000	2.1643937E+000	-1.0141715E+002
3.1452551E-001	-1.0576264E+000	-2.2177024E+000	2.4569855E+000	1.1549656E+002
2.1450520E-001	2.3258107E+000	-6.0177069E+000	6.4515262E+000	6.8868759E+001
1.4640838E-001	7.4602027E+000	-2.4850144E+000	7.8632007E+000	1.8423061E+001
9.9951774E-002	8.6756239E+000	1.7304566E+000	8.8465204E+000	-1.1280286E+001
